titles,authors,ratings,num_ratings,id,img,description,genre,format,page,isbn,au_ge,key_words,bow
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.23,"128,035 ratings",77390,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305545757l/77390.jpg,"At sixteen, Anne is grown up...almost. Her gray eyes shine like evening stars, but her red hair is still as peppery as her temper. In the years since she arrived at Green Gables as a freckle-faced orphan, she has earned the love of the people of Avonlea and a reputation for getting into scrapes. But when Anne begins her job as the new schoolteacher, the real test of her character begins. Along with teaching the three Rs, she is learning how complicated life can be when she meddles in someone else's romance, finds two new orphans at Green Gables, and wonders about the strange behaviour of the very handsome Gilbert Blythe. As Anne enters womanhood, her adventures touch the heart and the funny bone.","Classics, Fiction, Young Adult, Historical, Historical Fiction, Childrens",paperback,304.0,9780553213140.0,lmmontgomery classics fiction youngadult historical historicalfiction childrens,funny bone heart peppery new schoolteacher someone elses romance finds two orphans adventures touch teaching job grown people earned gray eyes shine like evening stars sixteen anne still red hair enters womanhood real test begins freckle faced orphan reputation wonders strange behaviour years since three rs handsome gilbert blythe green gables avonlea arrived scrapes temper almost meddles love complicated life getting learning character along,lmmontgomery classics fiction youngadult historical historicalfiction childrens funny bone heart peppery new schoolteacher someone elses romance finds two orphans adventures touch teaching job grown people earned gray eyes shine like evening stars sixteen anne still red hair enters womanhood real test begins freckle faced orphan reputation wonders strange behaviour years since three rs handsome gilbert blythe green gables avonlea arrived scrapes temper almost meddles love complicated life getting learning character along
Ethan Frome,Edith Wharton,3.39,"101,461 ratings",5246,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389822254l/5246.jpg,"'He seemed a part of the mute melancholy landscape, an incarnation of its frozen woe, with all that was warm and sentient in him fast bound below the surface'  Ethan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a 'hired girl', Ethan finds himself obsessed with her and with the possibilities for happiness she comes to represent. In one of American fiction's finest and most intense narratives, Edith Wharton moves this ill- starred trio towards their tragic destinies.","Classics, Fiction, Literature, Academic, School",paperback,189.0,9780142437803.0,edithwharton classics fiction literature academic school,tragic destinies part surface ethan frome works sentient obsessed ill starred trio towards seemed american fictions finest intense narratives edith wharton moves represent fast bound household difficult suspicious hired girl finds unproductive farm happiness comes mute melancholy landscape zeenas vivacious cousin enters warm incarnation one frozen woe struggles hypochondriac wife zeena possibilities maintain bearable existence,edithwharton classics fiction literature academic school tragic destinies part surface ethan frome works sentient obsessed ill starred trio towards seemed american fictions finest intense narratives edith wharton moves represent fast bound household difficult suspicious hired girl finds unproductive farm happiness comes mute melancholy landscape zeenas vivacious cousin enters warm incarnation one frozen woe struggles hypochondriac wife zeena possibilities maintain bearable existence
The Arabian Nights,Anonymous,4.05,"71,041 ratings",93101,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212809l/93101.jpg,"The tales of told by Shahrazad over a thousand and one nights to delay her execution by the vengeful King Shahriyar have become among the most popular in both Eastern and Western literature, as recounted by Sir Francis Burton. From the epic adventures of ""Aladdin and the Enchanted Lamp"" to the farcical ""Young Woman and her Five Lovers"" and the social criticism of ""The Tale of the Hunchback"", the stories depict a fabulous world of all-powerful sorcerers, jinns imprisoned in bottles and enchanting princesses. But despite their imaginative extravagance, the Tales are anchored to everyday life by their realism, providing a full and intimate record of medieval Islam.'","Classics, Fiction, Fantasy, Short Stories",paperback,1049.0,9780812972146.0,anonymous classics fiction fantasy shortstories,full powerful sorcerers jinns imprisoned fabulous world intimate record one nights everyday life five lovers medieval islam popular become among anchored recounted execution enchanted lamp western literature shahrazad tale aladdin enchanting princesses sir francis burton social criticism vengeful king shahriyar told imaginative extravagance realism providing eastern epic adventures hunchback tales bottles delay despite stories depict farcical young woman thousand,anonymous classics fiction fantasy shortstories full powerful sorcerers jinns imprisoned fabulous world intimate record one nights everyday life five lovers medieval islam popular become among anchored recounted execution enchanted lamp western literature shahrazad tale aladdin enchanting princesses sir francis burton social criticism vengeful king shahriyar told imaginative extravagance realism providing eastern epic adventures hunchback tales bottles delay despite stories depict farcical young woman thousand
Martin Eden,Jack London,4.43,"21,904 ratings",929782,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554572901l/929782.jpg,"Alternate cover edition of ISBN 9780140187724  The semiautobiographical Martin Eden is the most vital and original character Jack London ever created. Set in San Francisco, this is the story of Martin Eden, an impoverished seaman who pursues, obsessively and aggressively, dreams of education and literary fame. London, dissatisfied with the rewards of his own success, intended Martin Eden as an attack on individualism and a criticism of ambition; however, much of its status as a classic has been conferred by admirers of its ambitious protagonist.  Andrew Sinclair's wide-ranging introduction discusses the conflict between London's support of socialism and his powerful self-will. Sinclair also explores the parallels and divergences between the life of Martin Eden and that of his creator, focusing on London's mental depressions and how they affected his depiction of Eden.","Classics, Fiction, Literature, American",paperback,480.0,,jacklondon classics fiction literature american,semiautobiographical martin eden story success intended original character jack london ever created set admirers isbn attack san francisco conflict powerful self londons mental depressions parallels pursues obsessively impoverished seaman depiction literary fame dissatisfied vital criticism ambitious protagonist andrew sinclairs wide ranging introduction discusses conferred divergences creator focusing affected individualism classic status education socialism support ambition however much life alternate cover edition aggressively dreams sinclair also explores rewards,jacklondon classics fiction literature american semiautobiographical martin eden story success intended original character jack london ever created set admirers isbn attack san francisco conflict powerful self londons mental depressions parallels pursues obsessively impoverished seaman depiction literary fame dissatisfied vital criticism ambitious protagonist andrew sinclairs wide ranging introduction discusses conferred divergences creator focusing affected individualism classic status education socialism support ambition however much life alternate cover edition aggressively dreams sinclair also explores rewards
"A Girl of the Limberlost (Limberlost, #2)",Gene Stratton-Porter,4.15,"18,003 ratings",17567,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386749079l/17567.jpg,"Set amid Indiana's vast Limberlost Swamp, this treasured children's classic mixes astute observations on nature with the struggles of growing up in the early 20th century. Harassed by her mother and scorned by her peers, Elnora Comstock finds solace in natural beauty along with friendship, independence, and romance.  --  Synopsis from Huffington Post: Cornfields, soy fields, alfalfa fields ― Indiana has long been seen as an agricultural plain. But to make it a lucrative farming state, much of the land had to be deforested, leaving behind devastated habitats. The Limberlost, a wetland in northern Indiana, was mostly destroyed by drainage, logging and oil production. Gene Stratton-Porter, an early 20th-century naturalist and novelist, captured the fading beauty of the swamp in books like A Girl of the Limberlost, a novel about a smart, ambitious girl who lives in the dwindling wetland with her mother and pays for school by collecting local moth specimens to sell to naturalists. The book isn’t exactly an environmentalist tract, but it makes the case nonetheless: It celebrates the beauty and richness of the swampland, while showing how easily economic forces push landowners to strip it away.","Classics, Fiction, Young Adult, Historical, Historical Fiction, Childrens",paperback,222.0,9781576469118.0,genestratton-porter classics fiction youngadult historical historicalfiction childrens,exactly environmentalist tract mother deforested leaving behind devastated habitats early th century harassed richness easily economic forces push landowners romance synopsis school make novel swampland long wetland mostly destroyed ’ peers elnora comstock finds solace northern indiana land agricultural plain naturalist friendship independence sell swamp makes strip nature collecting local moth specimens set amid indianas vast limberlost book books like smart ambitious girl pays treasured childrens classic mixes astute observations lucrative farming state much oil production gene stratton porter drainage logging dwindling case nonetheless natural beauty along huffington post cornfields soy fields alfalfa ― novelist captured showing celebrates away naturalists lives struggles fading seen growing scorned,genestratton-porter classics fiction youngadult historical historicalfiction childrens exactly environmentalist tract mother deforested leaving behind devastated habitats early th century harassed richness easily economic forces push landowners romance synopsis school make novel swampland long wetland mostly destroyed ’ peers elnora comstock finds solace northern indiana land agricultural plain naturalist friendship independence sell swamp makes strip nature collecting local moth specimens set amid indianas vast limberlost book books like smart ambitious girl pays treasured childrens classic mixes astute observations lucrative farming state much oil production gene stratton porter drainage logging dwindling case nonetheless natural beauty along huffington post cornfields soy fields alfalfa ― novelist captured showing celebrates away naturalists lives struggles fading seen growing scorned
The Golden Bowl,Henry James,3.79,"10,518 ratings",259020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921801l/259020.jpg,"'A thing to marvel at, a thing to be grateful for.'A rich American art-collector and his daughter Maggie buy in for themselves and to their greater glory a beautiful young wife and noble husband. They do not know that Charlotte and Prince Amerigo were formerly lovers, nor that on the eve of the Prince's marriage they had discovered, in a Bloomsbury antique shop, a golden bowl with a secret flaw. The superstitious Amerigo, fearing for his gilded future, refuses to accept it as a wedding gift from Charlotte. 'Don't you think too much of ""cracks,""' she is later to say to him, 'aren't you too afraid of them? I risk the cracks...' When the golden bowl is broken, Maggie must leave the security of her childhood and try to reassemble the pieces of her shattered happiness.  In this, the last of his three great poetic masterpieces, James combined with a dazzling virtuosity elements of social comedy, of mystery, terror, and myth. ""The Golden Bowl"" is the most controversial, ambiguous, and sophisticated of James's novels.  The text of this World's Classics paperback is that of the first English edition (1905). James's Preface is included, and a new introduction, notes, and selected variant readings.","Classics, Fiction, Literature, Literature, American",paperback,591.0,9780140432350.0,henryjames classics fiction literature literature american,thing text later broken maggie must leave golden bowl superstitious amerigo fearing mystery terror worlds classics paperback accept last myth jamess novels first english edition preface gilded future refuses princes marriage sophisticated know afraid beautiful young wife greater glory rich american art collector pieces secret flaw controversial ambiguous new introduction notes reassemble noble husband formerly lovers grateful cracks included prince childhood risk selected variant readings arent daughter buy think three great poetic masterpieces james combined charlotte dont say shattered happiness dazzling virtuosity elements bloomsbury antique shop eve wedding gift try discovered marvel social comedy much security,henryjames classics fiction literature literature american thing text later broken maggie must leave golden bowl superstitious amerigo fearing mystery terror worlds classics paperback accept last myth jamess novels first english edition preface gilded future refuses princes marriage sophisticated know afraid beautiful young wife greater glory rich american art collector pieces secret flaw controversial ambiguous new introduction notes reassemble noble husband formerly lovers grateful cracks included prince childhood risk selected variant readings arent daughter buy think three great poetic masterpieces james combined charlotte dont say shattered happiness dazzling virtuosity elements bloomsbury antique shop eve wedding gift try discovered marvel social comedy much security
The Machine Stops,E.M. Forster,4.07,"7,949 ratings",4711854,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347943820l/4711854.jpg,"The Machine Stops is a science fiction short story (12,300 words) by E. M. Forster. After initial publication in The Oxford and Cambridge Review (November 1909), the story was republished in Forster's The Eternal Moment and Other Stories in 1928.  After being voted one of the best novellas up to 1965, it was included that same year in the populist anthology Modern Short Stories. In 1973 it was also included in The Science Fiction Hall of Fame, Volume Two.  The book is particularly notable for predicting new technologies such as instant messaging and the internet.","Science Fiction, Short Stories, Fiction, Classics, Science Fiction, Dystopia",paperback,48.0,9781409903291.0,emforster sciencefiction shortstories fiction classics sciencefiction dystopia,cambridge review november story science fiction short words best novellas hall stories voted one internet predicting new technologies e included book republished year also forster oxford instant messaging machine stops fame volume two eternal moment initial publication forsters particularly notable populist anthology modern,emforster sciencefiction shortstories fiction classics sciencefiction dystopia cambridge review november story science fiction short words best novellas hall stories voted one internet predicting new technologies e included book republished year also forster oxford instant messaging machine stops fame volume two eternal moment initial publication forsters particularly notable populist anthology modern
"The Road to Oz (Oz, #5)",L. Frank Baum,3.76,"10,167 ratings",179639,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490872373l/179639.jpg,"Meet Dorothy's new friends, the Shaggy Man, Button Bright and Polychrome, as you travel with them to the Emerald City. Share their adventures with the Musicker and the Scoodlers. See how they escape from the Soup-Kettle and what they found at the Truth Pond. Find out how they are able to cross the Deadly Desert and finally get to the Emerald City","Fantasy, Classics, Childrens, Fiction",paperback,261.0,9781587260377.0,lfrankbaum fantasy classics childrens fiction,finally get found deadly desert meet dorothys new friends shaggy man button bright emerald city share adventures truth pond find cross polychrome musicker scoodlers see travel soup kettle escape able,lfrankbaum fantasy classics childrens fiction finally get found deadly desert meet dorothys new friends shaggy man button bright emerald city share adventures truth pond find cross polychrome musicker scoodlers see travel soup kettle escape able
Peter Pan in Kensington Gardens / Peter and Wendy,J.M. Barrie,4.06,"5,650 ratings",38673,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924473l/38673.jpg,"In Peter Pan in Kensington Gardens, J.M. Barrie first created Peter Pan as a baby, living a wild and secret life with birds and fairies in the middle of London. Later Barrie let this remarkable child grow a little older and he became the boy-hero of Neverland, making his first appearance, with Wendy, Captain Hook, and the Lost Boys, in Peter and Wendy. The Peter Pan stories were Barrie's only works for children but, as their persistent popularity shows, their themes of imaginative escape continue to charm even those who long ago left Neverland. This is the first edition to include both texts in one volume and the first to a present an extensively annotated text for Peter Pan in Kensington Gardens.","Classics, Fantasy, Fiction, Childrens",paperback,288.0,9780192839299.0,jmbarrie classics fantasy fiction childrens,wendy captain hook extensively annotated text boy hero persistent popularity shows themes first peter texts edition pan stories remarkable child grow present london later barrie let middle kensington gardens secret life wild children appearance barries j charm even long ago left neverland baby living lost boys include one volume became works imaginative escape continue making fairies little older created birds,jmbarrie classics fantasy fiction childrens wendy captain hook extensively annotated text boy hero persistent popularity shows themes first peter texts edition pan stories remarkable child grow present london later barrie let middle kensington gardens secret life wild children appearance barries j charm even long ago left neverland baby living lost boys include one volume became works imaginative escape continue making fairies little older created birds
The Tale of the Flopsy Bunnies,Beatrix Potter,4.19,"5,703 ratings",19337,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388907317l/19337.jpg,"When the cupboard is bare at the Flopsy Bunny's burrow, the family all have to go in search of food. They soon find some old lettuces on Mr McGregor's rubbish heap, but who can imagine the horrors that await them as they enjoy a nap after lunch!  Peter Rabbit and Benjamin Bunny are two of Beatrix Potter's most popular characters and they are brought together in this exciting tale of danger and friendship.  The Tale of The Flopsy Bunnies is number ten in Beatrix Potter's series of 23 little books, the titles of which are as follows:  1 The Tale of Peter Rabbit 2 The Tale of Squirrel Nutkin 3 The Tailor of Gloucester 4 The Tale of Benjamin Bunny 5 The Tale of Two Bad Mice 6 The Tale of Mrs. Tiggy-Winkle 7 The Tale of Mr. Jeremy Fisher 8 The Tale of Tom Kitten 9 The Tale of Jemima Puddle-Duck 10 The Tale of the Flopsy Bunnies 11 The Tale of Mrs. Tittlemouse 12 The Tale of Timmy Tiptoes 13 The Tale of Johnny Town-Mouse 14 The Tale of Mr. Tod 15 The Tale of Pigling Bland 16 The Tale of Samuel Whiskers 17 The Tale of The Pie and the Patty-Pan 18 The Tale of Ginger and Pickles 19 The Tale of Little Pig Robinson 20 The Story of a Fierce Bad Rabbit 21 The Story of Miss Moppet 22 Appley Dapply's Nursery Rhymes 23 Cecily Parsley's Nursery Rhymes","Childrens, Childrens, Picture Books, Classics, Fiction, Animals",hardcover,58.0,9780723247791.0,beatrixpotter childrens childrens picturebooks classics fiction animals,await mrs tiggy winkle benjamin bunny beatrix potters series mr mcgregors rubbish heap story miss moppet appley dapplys nursery rhymes cecily parsleys nap tailor two bad mice pie patty pan popular characters jeremy fisher exciting tale enjoy number ten little books imagine fierce rabbit friendship flopsy bunnies johnny town mouse squirrel nutkin bare pickles pig robinson bunnys burrow gloucester lunch peter pigling bland old lettuces samuel whiskers tom kitten search tittlemouse go danger horrors cupboard jemima puddle duck brought together family timmy tiptoes tod follows ginger titles soon find food,beatrixpotter childrens childrens picturebooks classics fiction animals await mrs tiggy winkle benjamin bunny beatrix potters series mr mcgregors rubbish heap story miss moppet appley dapplys nursery rhymes cecily parsleys nap tailor two bad mice pie patty pan popular characters jeremy fisher exciting tale enjoy number ten little books imagine fierce rabbit friendship flopsy bunnies johnny town mouse squirrel nutkin bare pickles pig robinson bunnys burrow gloucester lunch peter pigling bland old lettuces samuel whiskers tom kitten search tittlemouse go danger horrors cupboard jemima puddle duck brought together family timmy tiptoes tod follows ginger titles soon find food
