titles,authors,id,avg_rating,tot_rating,year_pub,img,description,genre,format,page,isbn,au_ge,key_words,bow
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,77390,4.23,128152,1909,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305545757l/77390.jpg,"At sixteen, Anne is grown up...almost. Her gray eyes shine like evening stars, but her red hair is still as peppery as her temper. In the years since she arrived at Green Gables as a freckle-faced orphan, she has earned the love of the people of Avonlea and a reputation for getting into scrapes. But when Anne begins her job as the new schoolteacher, the real test of her character begins. Along with teaching the three Rs, she is learning how complicated life can be when she meddles in someone else's romance, finds two new orphans at Green Gables, and wonders about the strange behaviour of the very handsome Gilbert Blythe. As Anne enters womanhood, her adventures touch the heart and the funny bone.","Classics, Fiction, Young Adult, Historical, Historical Fiction, Childrens",paperback,304.0,9780553213140.0,lmmontgomery classics fiction youngadult historical historicalfiction childrens,strange behaviour learning sixteen anne teaching three rs heart years since almost enters womanhood getting job grown character begins along arrived wonders earned funny bone green gables people complicated life adventures touch gray eyes shine like evening stars love new schoolteacher handsome gilbert blythe meddles avonlea peppery freckle faced orphan someone elses romance finds two orphans reputation scrapes real test temper still red hair,lmmontgomery classics fiction youngadult historical historicalfiction childrens strange behaviour learning sixteen anne teaching three rs heart years since almost enters womanhood getting job grown character begins along arrived wonders earned funny bone green gables people complicated life adventures touch gray eyes shine like evening stars love new schoolteacher handsome gilbert blythe meddles avonlea peppery freckle faced orphan someone elses romance finds two orphans reputation scrapes real test temper still red hair
Ethan Frome,Edith Wharton,5246,3.39,101513,1909,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389822254l/5246.jpg,"'He seemed a part of the mute melancholy landscape, an incarnation of its frozen woe, with all that was warm and sentient in him fast bound below the surface'  Ethan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a 'hired girl', Ethan finds himself obsessed with her and with the possibilities for happiness she comes to represent. In one of American fiction's finest and most intense narratives, Edith Wharton moves this ill- starred trio towards their tragic destinies.","Classics, Fiction, Literature, Academic, School",paperback,189.0,9780142437803.0,edithwharton classics fiction literature academic school,american fictions finest obsessed incarnation seemed intense narratives edith wharton moves tragic destinies maintain one ill starred trio towards hypochondriac wife zeena part possibilities struggles warm happiness zeenas vivacious cousin enters household hired girl ethan finds difficult suspicious mute melancholy landscape surface frome works bearable existence comes sentient frozen woe represent fast bound unproductive farm,edithwharton classics fiction literature academic school american fictions finest obsessed incarnation seemed intense narratives edith wharton moves tragic destinies maintain one ill starred trio towards hypochondriac wife zeena part possibilities struggles warm happiness zeenas vivacious cousin enters household hired girl ethan finds difficult suspicious mute melancholy landscape surface frome works bearable existence comes sentient frozen woe represent fast bound unproductive farm
The Arabian Nights,Anonymous,93101,4.05,71076,1909,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212809l/93101.jpg,"The tales of told by Shahrazad over a thousand and one nights to delay her execution by the vengeful King Shahriyar have become among the most popular in both Eastern and Western literature, as recounted by Sir Francis Burton. From the epic adventures of ""Aladdin and the Enchanted Lamp"" to the farcical ""Young Woman and her Five Lovers"" and the social criticism of ""The Tale of the Hunchback"", the stories depict a fabulous world of all-powerful sorcerers, jinns imprisoned in bottles and enchanting princesses. But despite their imaginative extravagance, the Tales are anchored to everyday life by their realism, providing a full and intimate record of medieval Islam.'","Classics, Fiction, Fantasy, Short Stories",paperback,1049.0,9780812972146.0,anonymous classics fiction fantasy shortstories,thousand stories depict full execution enchanted lamp popular hunchback everyday life eastern social criticism realism providing western literature despite delay farcical young woman one nights told intimate record bottles imaginative extravagance epic adventures medieval islam become among powerful sorcerers jinns imprisoned sir francis burton shahrazad fabulous world recounted vengeful king shahriyar aladdin tale tales five lovers enchanting princesses anchored,anonymous classics fiction fantasy shortstories thousand stories depict full execution enchanted lamp popular hunchback everyday life eastern social criticism realism providing western literature despite delay farcical young woman one nights told intimate record bottles imaginative extravagance epic adventures medieval islam become among powerful sorcerers jinns imprisoned sir francis burton shahrazad fabulous world recounted vengeful king shahriyar aladdin tale tales five lovers enchanting princesses anchored
Martin Eden,Jack London,929782,4.43,21937,1909,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554572901l/929782.jpg,"Alternate cover edition of ISBN 9780140187724  The semiautobiographical Martin Eden is the most vital and original character Jack London ever created. Set in San Francisco, this is the story of Martin Eden, an impoverished seaman who pursues, obsessively and aggressively, dreams of education and literary fame. London, dissatisfied with the rewards of his own success, intended Martin Eden as an attack on individualism and a criticism of ambition; however, much of its status as a classic has been conferred by admirers of its ambitious protagonist.  Andrew Sinclair's wide-ranging introduction discusses the conflict between London's support of socialism and his powerful self-will. Sinclair also explores the parallels and divergences between the life of Martin Eden and that of his creator, focusing on London's mental depressions and how they affected his depiction of Eden.","Classics, Fiction, Literature, American",paperback,480.0,,jacklondon classics fiction literature american,martin eden creator focusing admirers alternate cover edition divergences criticism affected individualism success intended conferred socialism pursues obsessively londons support original character jack london ever created set impoverished seaman education literary fame dissatisfied parallels life aggressively dreams attack sinclair also explores mental depressions ambitious protagonist andrew sinclairs wide ranging introduction discusses isbn story ambition however much depiction san francisco status vital powerful self rewards semiautobiographical conflict classic,jacklondon classics fiction literature american martin eden creator focusing admirers alternate cover edition divergences criticism affected individualism success intended conferred socialism pursues obsessively londons support original character jack london ever created set impoverished seaman education literary fame dissatisfied parallels life aggressively dreams attack sinclair also explores mental depressions ambitious protagonist andrew sinclairs wide ranging introduction discusses isbn story ambition however much depiction san francisco status vital powerful self rewards semiautobiographical conflict classic
"A Girl of the Limberlost (Limberlost, #2)",Gene Stratton-Porter,17567,4.15,18008,1909,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386749079l/17567.jpg,"Set amid Indiana's vast Limberlost Swamp, this treasured children's classic mixes astute observations on nature with the struggles of growing up in the early 20th century. Harassed by her mother and scorned by her peers, Elnora Comstock finds solace in natural beauty along with friendship, independence, and romance.  --  Synopsis from Huffington Post: Cornfields, soy fields, alfalfa fields ― Indiana has long been seen as an agricultural plain. But to make it a lucrative farming state, much of the land had to be deforested, leaving behind devastated habitats. The Limberlost, a wetland in northern Indiana, was mostly destroyed by drainage, logging and oil production. Gene Stratton-Porter, an early 20th-century naturalist and novelist, captured the fading beauty of the swamp in books like A Girl of the Limberlost, a novel about a smart, ambitious girl who lives in the dwindling wetland with her mother and pays for school by collecting local moth specimens to sell to naturalists. The book isn’t exactly an environmentalist tract, but it makes the case nonetheless: It celebrates the beauty and richness of the swampland, while showing how easily economic forces push landowners to strip it away.","Classics, Fiction, Young Adult, Historical, Historical Fiction, Childrens",paperback,222.0,9781576469118.0,genestratton-porter classics fiction youngadult historical historicalfiction childrens,deforested leaving behind devastated habitats early th century naturalist seen ’ long swamp huffington post cornfields soy fields alfalfa ― indiana collecting local moth specimens smart ambitious girl natural beauty along limberlost naturalists swampland set amid indianas vast romance synopsis school richness fading away struggles land drainage logging peers elnora comstock finds solace books like makes book showing growing mother make northern sell pays celebrates harassed friendship independence agricultural plain oil production gene stratton porter wetland easily economic forces push landowners lucrative farming state much lives scorned novelist captured nature strip novel dwindling environmentalist tract case nonetheless exactly treasured childrens classic mixes astute observations mostly destroyed,genestratton-porter classics fiction youngadult historical historicalfiction childrens deforested leaving behind devastated habitats early th century naturalist seen ’ long swamp huffington post cornfields soy fields alfalfa ― indiana collecting local moth specimens smart ambitious girl natural beauty along limberlost naturalists swampland set amid indianas vast romance synopsis school richness fading away struggles land drainage logging peers elnora comstock finds solace books like makes book showing growing mother make northern sell pays celebrates harassed friendship independence agricultural plain oil production gene stratton porter wetland easily economic forces push landowners lucrative farming state much lives scorned novelist captured nature strip novel dwindling environmentalist tract case nonetheless exactly treasured childrens classic mixes astute observations mostly destroyed
The Golden Bowl,Henry James,259020,3.79,10524,1909,,,,,,,,,
The Machine Stops,E.M. Forster,4711854,4.07,7955,1909,,,,,,,,,
"The Road to Oz (Oz, #5)",L. Frank Baum,179639,3.76,10173,1909,,,,,,,,,
Peter Pan in Kensington Gardens / Peter and Wendy,J.M. Barrie,38673,4.06,5651,1909,,,,,,,,,
The Tale of the Flopsy Bunnies,Beatrix Potter,19337,4.19,5707,1909,,,,,,,,,
