,titles,authors,ratings,num_ratings,id,img,description,pages,genre,format
0,"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.22,126781,77390,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305545757l/77390.jpg,"At sixteen, Anne is grown up...almost. Her gray eyes shine like evening stars, but her red hair is still as peppery as her temper. In the years since she arrived at Green Gables as a freckle-faced orphan, she has earned the love of the people of Avonlea and a reputation for getting into scrapes. But when Anne begins her job as the new schoolteacher, the real test of her character begins. Along with teaching the three Rs, she is learning how complicated life can be when she meddles in someone else's romance, finds two new orphans at Green Gables, and wonders about the strange behaviour of the very handsome Gilbert Blythe. As Anne enters womanhood, her adventures touch the heart and the funny bone.",304 pages,"{'Childrens', 'Classics', 'Historical', 'Historical Fiction', 'Fiction', 'Young Adult'}",
1,Ethan Frome,Edith Wharton,3.39,100785,5246,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389822254l/5246.jpg,"'He seemed a part of the mute melancholy landscape, an incarnation of its frozen woe, with all that was warm and sentient in him fast bound below the surface'  Ethan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a 'hired girl', Ethan finds himself obsessed with her and with the possibilities for happiness she comes to represent. In one of American fiction's finest and most intense narratives, Edith Wharton moves this ill- starred trio towards their tragic destinies.",189 pages,"{'Classics', 'Academic', 'Fiction', 'School', 'Literature'}",
2,The Arabian Nights,Anonymous,4.05,70660,93101,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212809l/93101.jpg,"The tales of told by Shahrazad over a thousand and one nights to delay her execution by the vengeful King Shahriyar have become among the most popular in both Eastern and Western literature, as recounted by Sir Francis Burton. From the epic adventures of ""Aladdin and the Enchanted Lamp"" to the farcical ""Young Woman and her Five Lovers"" and the social criticism of ""The Tale of the Hunchback"", the stories depict a fabulous world of all-powerful sorcerers, jinns imprisoned in bottles and enchanting princesses. But despite their imaginative extravagance, the Tales are anchored to everyday life by their realism, providing a full and intimate record of medieval Islam.'",1049 pages,"{'Classics', 'Short Stories', 'Fantasy', 'Fiction'}",
3,Martin Eden,Jack London,4.43,21445,929782,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554572901l/929782.jpg,"Alternate cover edition of ISBN 9780140187724  The semiautobiographical Martin Eden is the most vital and original character Jack London ever created. Set in San Francisco, this is the story of Martin Eden, an impoverished seaman who pursues, obsessively and aggressively, dreams of education and literary fame. London, dissatisfied with the rewards of his own success, intended Martin Eden as an attack on individualism and a criticism of ambition; however, much of its status as a classic has been conferred by admirers of its ambitious protagonist.  Andrew Sinclair's wide-ranging introduction discusses the conflict between London's support of socialism and his powerful self-will. Sinclair also explores the parallels and divergences between the life of Martin Eden and that of his creator, focusing on London's mental depressions and how they affected his depiction of Eden.",480 pages,"{'Classics', 'American', 'Literature', 'Fiction'}",
4,"A Girl of the Limberlost (Limberlost, #2)",Gene Stratton-Porter,4.15,17932,17567,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386749079l/17567.jpg,"Set amid Indiana's vast Limberlost Swamp, this treasured children's classic mixes astute observations on nature with the struggles of growing up in the early 20th century. Harassed by her mother and scorned by her peers, Elnora Comstock finds solace in natural beauty along with friendship, independence, and romance.  --  Synopsis from Huffington Post: Cornfields, soy fields, alfalfa fields ― Indiana has long been seen as an agricultural plain. But to make it a lucrative farming state, much of the land had to be deforested, leaving behind devastated habitats. The Limberlost, a wetland in northern Indiana, was mostly destroyed by drainage, logging and oil production. Gene Stratton-Porter, an early 20th-century naturalist and novelist, captured the fading beauty of the swamp in books like A Girl of the Limberlost, a novel about a smart, ambitious girl who lives in the dwindling wetland with her mother and pays for school by collecting local moth specimens to sell to naturalists. The book isn’t exactly an environmentalist tract, but it makes the case nonetheless: It celebrates the beauty and richness of the swampland, while showing how easily economic forces push landowners to strip it away.",222 pages,"{'Childrens', 'Classics', 'Historical', 'Historical Fiction', 'Fiction', 'Young Adult'}",
5,The Golden Bowl,Henry James,3.79,10488,259020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921801l/259020.jpg,"'A thing to marvel at, a thing to be grateful for.'A rich American art-collector and his daughter Maggie buy in for themselves and to their greater glory a beautiful young wife and noble husband. They do not know that Charlotte and Prince Amerigo were formerly lovers, nor that on the eve of the Prince's marriage they had discovered, in a Bloomsbury antique shop, a golden bowl with a secret flaw. The superstitious Amerigo, fearing for his gilded future, refuses to accept it as a wedding gift from Charlotte. 'Don't you think too much of ""cracks,""' she is later to say to him, 'aren't you too afraid of them? I risk the cracks...' When the golden bowl is broken, Maggie must leave the security of her childhood and try to reassemble the pieces of her shattered happiness.  In this, the last of his three great poetic masterpieces, James combined with a dazzling virtuosity elements of social comedy, of mystery, terror, and myth. ""The Golden Bowl"" is the most controversial, ambiguous, and sophisticated of James's novels.  The text of this World's Classics paperback is that of the first English edition (1905). James's Preface is included, and a new introduction, notes, and selected variant readings.",591 pages,"{'Literary Fiction', 'Classics', 'Historical', 'The United States Of America', 'Historical Fiction', 'American', 'Fiction', 'Classic Literature', 'Literature', 'Novels'}",
6,The Machine Stops,E.M. Forster,4.07,7804,4711854,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347943820l/4711854.jpg,"The Machine Stops is a science fiction short story (12,300 words) by E. M. Forster. After initial publication in The Oxford and Cambridge Review (November 1909), the story was republished in Forster's The Eternal Moment and Other Stories in 1928.  After being voted one of the best novellas up to 1965, it was included that same year in the populist anthology Modern Short Stories. In 1973 it was also included in The Science Fiction Hall of Fame, Volume Two.  The book is particularly notable for predicting new technologies such as instant messaging and the internet.",48 pages,"{'Classics', 'Dystopia', 'Fiction', 'Short Stories', 'Science Fiction'}",
7,"The Road to Oz (Oz, #5)",L. Frank Baum,3.76,10101,179639,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490872373l/179639.jpg,"Meet Dorothy's new friends, the Shaggy Man, Button Bright and Polychrome, as you travel with them to the Emerald City. Share their adventures with the Musicker and the Scoodlers. See how they escape from the Soup-Kettle and what they found at the Truth Pond. Find out how they are able to cross the Deadly Desert and finally get to the Emerald City",261 pages,"{'Classics', 'Fiction', 'Childrens', 'Fantasy'}",
8,Peter Pan in Kensington Gardens / Peter and Wendy,J.M. Barrie,4.06,5621,38673,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924473l/38673.jpg,"In Peter Pan in Kensington Gardens, J.M. Barrie first created Peter Pan as a baby, living a wild and secret life with birds and fairies in the middle of London. Later Barrie let this remarkable child grow a little older and he became the boy-hero of Neverland, making his first appearance, with Wendy, Captain Hook, and the Lost Boys, in Peter and Wendy. The Peter Pan stories were Barrie's only works for children but, as their persistent popularity shows, their themes of imaginative escape continue to charm even those who long ago left Neverland. This is the first edition to include both texts in one volume and the first to a present an extensively annotated text for Peter Pan in Kensington Gardens.",288 pages,"{'Classics', 'Fiction', 'Childrens', 'Fantasy'}",
9,The Tale of the Flopsy Bunnies,Beatrix Potter,4.19,5664,19337,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388907317l/19337.jpg,"When the cupboard is bare at the Flopsy Bunny's burrow, the family all have to go in search of food. They soon find some old lettuces on Mr McGregor's rubbish heap, but who can imagine the horrors that await them as they enjoy a nap after lunch!  Peter Rabbit and Benjamin Bunny are two of Beatrix Potter's most popular characters and they are brought together in this exciting tale of danger and friendship.  The Tale of The Flopsy Bunnies is number ten in Beatrix Potter's series of 23 little books, the titles of which are as follows:  1 The Tale of Peter Rabbit 2 The Tale of Squirrel Nutkin 3 The Tailor of Gloucester 4 The Tale of Benjamin Bunny 5 The Tale of Two Bad Mice 6 The Tale of Mrs. Tiggy-Winkle 7 The Tale of Mr. Jeremy Fisher 8 The Tale of Tom Kitten 9 The Tale of Jemima Puddle-Duck 10 The Tale of the Flopsy Bunnies 11 The Tale of Mrs. Tittlemouse 12 The Tale of Timmy Tiptoes 13 The Tale of Johnny Town-Mouse 14 The Tale of Mr. Tod 15 The Tale of Pigling Bland 16 The Tale of Samuel Whiskers 17 The Tale of The Pie and the Patty-Pan 18 The Tale of Ginger and Pickles 19 The Tale of Little Pig Robinson 20 The Story of a Fierce Bad Rabbit 21 The Story of Miss Moppet 22 Appley Dapply's Nursery Rhymes 23 Cecily Parsley's Nursery Rhymes",58 pages,"{'Childrens', 'Classics', 'Animals', 'Picture Books', 'Fiction'}",Hardcover
