,titles,authors,ratings,num_ratings,id,description,pages,genre,format
0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.56,"2,435,849 ratings",5,"Harry Potter's third year at Hogwarts is full of new dangers. A convicted murderer, Sirius Black, has broken out of Azkaban prison, and it seems he's after Harry. Now Hogwarts is being patrolled by the dementors, the Azkaban guards who are hunting Sirius. But Harry can't imagine that Sirius or, for that matter, the evil Lord Voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. Meanwhile, life continues as usual at Hogwarts. A top-of-the-line broom takes Harry's success at Quidditch, the sport of the Wizarding world, to new heights. A cute fourth-year student catches his eye. And he becomes close with the new Defense of the Dark Arts teacher, who was a childhood friend of his father. Yet despite the relative safety of life at Hogwarts and the best efforts of the dementors, the threat of Sirius Black grows ever closer. But if Harry has learned anything from his education in wizardry, it is that things are often not what they seem. Tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series. --scholastic.com",435 pages,"{'Middle Grade', 'Adventure', 'Fantasy', 'Audiobook', 'Classics', 'Fiction', 'Young Adult', 'Magic', 'Science Fiction Fantasy', 'Childrens'}",
1,The Perks of Being a Wallflower,Stephen Chbosky,4.20,"1,138,861 ratings",47440429,"Now in a special edition to mark the twentieth anniversary of a beloved cult classic! Read the #1 New York Times bestselling coming-of-age story that takes a sometimes heartbreaking, often hysterical, and always honest look at high school in all its glory. Also a major motion picture starring Logan Lerman and Emma Watson, The Perks of Being a Wallflower is a funny, touching, and haunting modern classic.  The critically acclaimed debut novel from Stephen Chbosky follows observant “wallflower” Charlie as he charts a course through the strange world between adolescence and adulthood. First dates, family drama, and new friends. Sex, drugs, and The Rocky Horror Picture Show. Devastating loss, young love, and life on the fringes. Caught between trying to live his life and trying to run from it, Charlie must learn to navigate those wild and poignant roller-coaster days known as growing up.  A #1 New York Times best seller for more than a year, an American Library Association Best Book for Young Adults (2000) and Best Book for Reluctant Readers (2000), and with millions of copies in print, this novel for teen readers (or “wallflowers” of more-advanced age) will make you laugh, cry, and perhaps feel nostalgic for those moments when you, too, tiptoed onto the dance floor of life.",224 pages,"{'Fiction', 'Contemporary', 'Young Adult'}",Hardcover
2,A Walk to Remember,Nicholas Sparks,4.17,"617,830 ratings",35545737,"There was a time when the world was sweeter...when the women in Beaufort, North Carolina, wore dresses, and the men donned hats...when something happened to a seventeen-year-old boy that would change his life forever. Every April, when the wind blows in from the sea and mingles with the scent of lilacs, Landon Carter remembers his last year at Beaufort High. It was 1958, and Landon had already dated a girl or two. He even swore that he had once been in love. Certainly the last person in town he thought he'd fall for was Jamie Sullivan, the daughter of the town's Baptist minister. A quiet girl who always carried a Bible with her schoolbooks, Jamie seemed content living in a world apart from the other teens. She took care of her widowed father, rescued hurt animals, and helped out at the local orphanage. No boy had ever asked her out. Landon would never have dreamed of it. Then a twist of fate made Jamie his partner for the homecoming dance, and Landon Carter's life would never be the same. Being with Jamie would show him the depths of the human heart and lead him to a decision so stunning it would send him irrevocably on the road to manhood. No other author today touches our emotions more deeply than Nicholas Sparks. Illuminating both the strength and the gossamer fragility of our deepest emotions, his two New York Times bestsellers, The Notebook and Message in a Bottle, have established him as the leading author of today's most cherished love stories. Now, in A Walk to Remember, he tells a truly unforgettable story, one that glimmers with all of his magic, holding us spellbound-and reminding us that in life each of us may find one great love, the kind that changes everything...",215 pages,"{'Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Young Adult', 'Womens Fiction'}",
3,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,3.93,"357,436 ratings",78411,"Dear Reader,  I'm sorry to say that the book you are holding in your hands is extremely unpleasant. It tells an unhappy tale about three very unlucky children. Even though they are charming and clever, the Baudelaire siblings lead lives filled with misery and woe. From the very first page of this book when the children are at the beach and receive terrible news, continuing on through the entire story, disaster lurks at their heels. One might say they are magnets for misfortune.  In this short book alone, the three youngsters encounter a greedy and repulsive villain, itchy clothing, a disastrous fire, a plot to steal their fortune, and cold porridge for breakfast.  It is my sad duty to write down these unpleasant tales, but there is nothing stopping you from putting this book down at once and reading something happy, if you prefer that sort of thing.  With all due respect, Lemony Snicket",176 pages,"{'Young Adult', 'Childrens', 'Fantasy', 'Fiction'}",
4,Interpreter of Maladies,Jhumpa Lahiri,4.14,"149,557 ratings",5439,"Navigating between the Indian traditions they've inherited and the baffling new world, the characters in Jhumpa Lahiri's elegant, touching stories seek love beyond the barriers of culture and generations. In ""A Temporary Matter,"" published in The New Yorker, a young Indian-American couple faces the heartbreak of a stillborn birth while their Boston neighborhood copes with a nightly blackout. In the title story, an interpreter guides an American family through the India of their ancestors and hears an astonishing confession. Lahiri writes with deft cultural insight reminiscent of Anita Desai and a nuanced depth that recalls Mavis Gallant.",198 pages,"{'Short Stories', 'Cultural', 'Fiction', 'India'}",
5,"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,3.98,"167,958 ratings",78418,"Dear Reader,  If you have picked up this book with the hope of finding a simple and cheery tale, I'm afraid you have picked up the wrong book altogether. The story may seem cheery at first, when the Baudelaire children spend time in the company of some interesting reptiles and a giddy uncle, but don't be fooled. If you know anything at all about the unlucky Baudelaire children, you already know that even pleasant events lead down the same road to misery.  In fact, within the pages you now hold in your hands, the three siblings endure a car accident, a terrible odor, a deadly serpent, a long knife, a large brass reading lamp, and the appearance of a person they'd hoped never to see again.  I am bound to record these tragic events, but you are free to put this book back on the shelf and seek something lighter.  With all due respect,  Lemony Snicket",192 pages,"{'Young Adult', 'Childrens', 'Fantasy', 'Fiction'}",
6,Timeline,Michael Crichton,3.85,"177,986 ratings",7669,"In an Arizona desert, a man wanders in a daze, speaking words that make no sense. Within twenty-four hours he is dead, his body swiftly cremated by his only known associates. Halfway around the world, archaeologists make a shocking discovery at a medieval site. Suddenly they are swept off to the headquarters of a secretive multinational corporation that has developed an astounding technology. Now this group is about to get a chance not to study the past but to enter it. And with history opened up to the present, the dead awakened to the living, these men and women will soon find themselves fighting for their very survival -- six hundred years ago.",489 pages,"{'Historical Fiction', 'Thriller', 'Science Fiction', 'Historical', 'Fiction', 'Time Travel'}",
7,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,4.31,"143,282 ratings",9532,"Welcome to Battleschool.  Growing up is never easy. But try living on the mean streets as a child begging for food and fighting like a dog with ruthless gangs of starving kids who wouldn't hesitate to pound your skull into pulp for a scrap of apple. If Bean has learned anything on the streets, it's how to survive. And not with fists. He is way too small for that. But with brains.  Bean is a genius with a magician's ability to zero in on his enemy and exploit his weakness.  What better quality for a future general to lead the Earth in a final climactic battle against a hostile alien race, known as Buggers. At Battleschool Bean meets and befriends another future commander - Ender Wiggins - perhaps his only true rival.  Only one problem: for Bean and Ender, the future is now.  Ender's Shadow is the book that launched The Shadow Series, and the parallel novel to Orson Scott Card's science fiction classic, Ender's Game.",469 pages,"{'Young Adult', 'Science Fiction', 'Fiction', 'Fantasy'}",
8,Invisible Monsters,Chuck Palahniuk,4.00 ,"117,223 ratings",36236125,"She's a catwalk model who has everything: a boyfriend, a career, a loyal best friend. But when a sudden motor 'accident' leaves her disfigured and incapable of speech, she goes from being the beautiful centre of attention to being an invisible monster, so hideous that no one will acknowledge she exists.  Enter Brandy Alexander, Queen Supreme, one operation away from being a real woman, who will teach her that reinventing yourself means erasing your past and making up something better, and that salvation hides in the last place you'll ever want to look.  The narrator must exact revenge upon Evie, her best friend and fellow model; kidnap Manus, her two-timing ex-boyfriend; and hit the road with Brandy in search of a brand-new past, present and future.",304 pages,"{'Mystery', 'Contemporary', 'Thriller', 'Fiction'}",
9,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,3.88,"81,082 ratings",55399,"The Malazan Empire simmers with discontent, bled dry by interminable warfare, bitter infighting and bloody confrontations with the formidable Anomander Rake and his Tiste Andii, ancient and implacable sorcerers. Even the imperial legions, long inured to the bloodshed, yearn for some respite. Yet Empress Laseen's rule remains absolute, enforced by her dread Claw assassins.  For Sergeant Whiskeyjack and his squad of Bridgeburners, and for Tattersail, surviving cadre mage of the Second Legion, the aftermath of the siege of Pale should have been a time to mourn the many dead. But Darujhistan, last of the Free Cities of Genabackis, yet holds out. It is to this ancient citadel that Laseen turns her predatory gaze.  However, it would appear that the Empire is not alone in this great game. Sinister, shadowbound forces are gathering as the gods themselves prepare to play their hand...  Conceived and written on a panoramic scale, Gardens of the Moon is epic fantasy of the highest order--an enthralling adventure by an outstanding new voice.",666 pages,"{'High Fantasy', 'Epic Fantasy', 'Fantasy', 'Fiction'}",
10,Seabiscuit: An American Legend,Laura Hillenbrand,4.22,"133,886 ratings",110737, ,457 pages,"{'History', 'Biography', 'Sports', 'Animals', 'Nonfiction'}",
11,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",Louise Rennison,3.75,"126,223 ratings",402013,"There are six things very wrong with my life:  1. I have one of those under-the-skin spots that will never come to a head but lurk in a red way for the next two years.  2. It is on my nose  3. I have a three-year-old sister who may have peed somewhere in my room.  4. In fourteen days the summer hols will be over and then it will be back to Stalag 14 and Oberfuhrer Frau Simpson and her bunch of sadistic teachers.  5. I am very ugly and need to go into an ugly home.  6. I went to a party dressed as a stuffed olive.  In this wildly funny journal of a year in the life of Georgia Nicolson, British author Louise Rennison has perfectly captured the soaring joys and bottomless angst of being a teenager. In the spirit of Bridget Jones's Diary, this fresh, irreverent, and simply hilarious book will leave you laughing out loud. As Georgia would say, it's ""Fabbity fab fab!""",247 pages,"{'Humor', 'Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Young Adult', 'Womens Fiction'}",Hardcover
12,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,4.07,"81,201 ratings",8049273,"The international bestseller that inspired a major Nova special and sparked a new understanding of the universe, now with a new preface and epilogue.  Brian Greene, one of the world's leading string theorists, peels away layers of mystery to reveal a universe that consists of eleven dimensions, where the fabric of space tears and repairs itself, and all matter—from the smallest quarks to the most gargantuan supernovas—is generated by the vibrations of microscopically tiny loops of energy. The Elegant Universe makes some of the most sophisticated concepts ever contemplated accessible and thoroughly entertaining, bringing us closer than ever to understanding how the universe works.",464 pages,"{'Physics', 'Astronomy', 'Popular Science', 'Science', 'Nonfiction'}",
